Date,Indicator
10/19/2015,1
12/4/2015,1
12/21/2015,1
12/22/2015,1
12/23/2015,1
12/24/2015,1
12/25/2015,1
12/26/2015,1
12/27/2015,1
12/28/2015,1
12/29/2015,1
12/30/2015,1
12/31/2015,1
1/1/2016,1
2/12/2016,1
2/22/2016,1
3/28/2016,1
3/29/2016,1
3/30/2016,1
3/31/2016,1
4/1/2016,1
5/6/2016,1
5/23/2016,1
6/16/2016,1
8/19/2016,1
9/30/2016,1
11/25/2016,1
12/2/2016,1
12/22/2016,1
12/23/2016,1
12/24/2016,1
12/25/2016,1
12/26/2016,1
12/27/2016,1
12/28/2016,1
12/29/2016,1
12/30/2016,1
2/17/2017,1
4/18/2017,1
4/19/2017,1
4/20/2017,1
4/21/2017,1
6/15/2017,1
6/16/2017,1
6/17/2017,1
6/18/2017,1
6/19/2017,1
6/20/2017,1
6/21/2017,1
6/22/2017,1
6/23/2017,1
6/24/2017,1
6/25/2017,1
6/26/2017,1
6/27/2017,1
6/28/2017,1
6/29/2017,1
6/30/2017,1
7/1/2017,1
7/2/2017,1
7/3/2017,1
7/4/2017,1
7/5/2017,1
7/6/2017,1
7/7/2017,1
7/8/2017,1
7/9/2017,1
7/10/2017,1
7/11/2017,1
7/12/2017,1
7/13/2017,1
7/14/2017,1
7/15/2017,1
7/16/2017,1
7/17/2017,1
7/18/2017,1
7/19/2017,1
7/20/2017,1
7/21/2017,1
7/22/2017,1
7/23/2017,1
7/24/2017,1
7/25/2017,1
7/26/2017,1
7/27/2017,1
7/28/2017,1
7/29/2017,1
7/30/2017,1
7/31/2017,1
8/1/2017,1
8/2/2017,1
8/3/2017,1
8/4/2017,1
8/5/2017,1
8/6/2017,1
8/7/2017,1
8/8/2017,1
8/9/2017,1
8/10/2017,1
8/11/2017,1
9/22/2017,1
11/24/2017,1
12/1/2017,1
12/22/2017,1
12/23/2017,1
12/24/2017,1
12/25/2017,1
12/26/2017,1
12/27/2017,1
12/28/2017,1
12/29/2017,1
12/30/2017,1
12/31/2017,1
1/1/2018,1
1/2/2018,1
2/16/2018,1
3/26/2018,1
3/27/2018,1
3/28/2018,1
3/29/2018,1
3/30/2018,1
5/24/2018,1
6/18/2018,1
6/19/2018,1
6/20/2018,1
6/21/2018,1
6/22/2018,1
6/23/2018,1
6/24/2018,1
6/25/2018,1
6/26/2018,1
6/27/2018,1
6/28/2018,1
6/29/2018,1
6/30/2018,1
7/1/2018,1
7/2/2018,1
7/3/2018,1
7/4/2018,1
7/5/2018,1
7/6/2018,1
7/7/2018,1
7/8/2018,1
7/9/2018,1
7/10/2018,1
7/11/2018,1
7/12/2018,1
7/13/2018,1
7/14/2018,1
7/15/2018,1
7/16/2018,1
7/17/2018,1
7/18/2018,1
7/19/2018,1
7/20/2018,1
7/21/2018,1
7/22/2018,1
7/23/2018,1
7/24/2018,1
7/25/2018,1
7/26/2018,1
7/27/2018,1
7/28/2018,1
7/29/2018,1
7/30/2018,1
7/31/2018,1
8/1/2018,1
8/2/2018,1
8/3/2018,1
8/4/2018,1
8/5/2018,1
8/6/2018,1
8/7/2018,1
8/8/2018,1
8/9/2018,1
8/10/2018,1
10/25/2018,1
10/26/2018,1
11/21/2018,1
11/23/2018,1
12/24/2018,1
12/25/2018,1
12/26/2018,1
12/27/2018,1
12/28/2018,1
12/29/2018,1
12/30/2018,1
12/31/2018,1
