Date,Month,Year,Area,Civilian Labor Force,Employment,Unemployment,Unemployment Rate,State FIPS Code,Area FIPS Code
2010-02-14,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
2010-02-15,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
2010-02-16,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
2010-02-17,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
2010-02-18,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
2010-02-19,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
2010-02-20,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
2010-02-21,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
2010-02-22,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
2010-02-23,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
2010-02-24,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
2010-02-25,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
2010-02-26,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
2010-02-27,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
2010-02-28,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
2010-03-01,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
2010-03-02,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
2010-03-03,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
2010-03-04,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
2010-03-05,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
2010-03-06,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
2010-03-07,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
2010-03-08,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
2010-03-09,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
2010-03-10,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
2010-03-11,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
2010-03-12,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
2010-03-13,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
2010-03-14,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
2010-03-15,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
2010-03-16,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
2010-03-17,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
2010-03-18,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
2010-03-19,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
2010-03-20,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
2010-03-21,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
2010-03-22,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
2010-03-23,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
2010-03-24,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
2010-03-25,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
2010-03-26,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
2010-03-27,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
2010-03-28,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
2010-03-29,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
2010-03-30,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
2010-03-31,3,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,116,228","2,907,816","208,412",6.7,11.0,47900.0
2010-04-01,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
2010-04-02,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
2010-04-03,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
2010-04-04,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
2010-04-05,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
2010-04-06,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
2010-04-07,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
2010-04-08,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
2010-04-09,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
2010-04-10,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
2010-04-11,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
2010-04-12,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
2010-04-13,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
2010-04-14,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
2010-04-15,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
2010-04-16,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
2010-04-17,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
2010-04-18,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
2010-04-19,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
2010-04-20,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
2010-04-21,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
2010-04-22,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
2010-04-23,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
2010-04-24,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
2010-04-25,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
2010-04-26,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
2010-04-27,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
2010-04-28,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
2010-04-29,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
2010-04-30,4,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,154,334","2,948,983","205,351",6.5,11.0,47900.0
2010-05-01,5,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,153,776","2,953,811","199,965",6.3,11.0,47900.0
2010-05-02,5,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,153,776","2,953,811","199,965",6.3,11.0,47900.0
2010-05-03,5,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,153,776","2,953,811","199,965",6.3,11.0,47900.0
2010-05-04,5,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,153,776","2,953,811","199,965",6.3,11.0,47900.0
2010-05-05,5,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,153,776","2,953,811","199,965",6.3,11.0,47900.0
2010-05-06,5,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,153,776","2,953,811","199,965",6.3,11.0,47900.0
2010-05-07,5,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,153,776","2,953,811","199,965",6.3,11.0,47900.0
2010-05-08,5,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,153,776","2,953,811","199,965",6.3,11.0,47900.0
2010-05-09,5,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,153,776","2,953,811","199,965",6.3,11.0,47900.0
2010-05-10,5,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,153,776","2,953,811","199,965",6.3,11.0,47900.0
2010-05-11,5,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,153,776","2,953,811","199,965",6.3,11.0,47900.0
2010-05-12,5,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,153,776","2,953,811","199,965",6.3,11.0,47900.0
2010-05-13,5,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,153,776","2,953,811","199,965",6.3,11.0,47900.0
2010-05-14,5,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,153,776","2,953,811","199,965",6.3,11.0,47900.0
2010-05-15,5,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,153,776","2,953,811","199,965",6.3,11.0,47900.0
2010-05-16,5,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,153,776","2,953,811","199,965",6.3,11.0,47900.0
2010-05-17,5,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,153,776","2,953,811","199,965",6.3,11.0,47900.0
2010-05-18,5,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,153,776","2,953,811","199,965",6.3,11.0,47900.0
2010-05-19,5,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,153,776","2,953,811","199,965",6.3,11.0,47900.0
2010-05-20,5,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,153,776","2,953,811","199,965",6.3,11.0,47900.0
2010-05-21,5,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,153,776","2,953,811","199,965",6.3,11.0,47900.0
2010-05-22,5,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,153,776","2,953,811","199,965",6.3,11.0,47900.0
2010-05-23,5,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,153,776","2,953,811","199,965",6.3,11.0,47900.0
2010-05-24,5,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,153,776","2,953,811","199,965",6.3,11.0,47900.0
2010-05-25,5,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,153,776","2,953,811","199,965",6.3,11.0,47900.0
2010-05-26,5,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,153,776","2,953,811","199,965",6.3,11.0,47900.0
2010-05-27,5,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,153,776","2,953,811","199,965",6.3,11.0,47900.0
2010-05-28,5,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,153,776","2,953,811","199,965",6.3,11.0,47900.0
2010-05-29,5,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,153,776","2,953,811","199,965",6.3,11.0,47900.0
2010-05-30,5,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,153,776","2,953,811","199,965",6.3,11.0,47900.0
2010-05-31,5,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,153,776","2,953,811","199,965",6.3,11.0,47900.0
2010-06-01,6,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,158,649","2,961,878","196,771",6.2,11.0,47900.0
2010-06-02,6,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,158,649","2,961,878","196,771",6.2,11.0,47900.0
2010-06-03,6,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,158,649","2,961,878","196,771",6.2,11.0,47900.0
2010-06-04,6,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,158,649","2,961,878","196,771",6.2,11.0,47900.0
2010-06-05,6,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,158,649","2,961,878","196,771",6.2,11.0,47900.0
2010-06-06,6,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,158,649","2,961,878","196,771",6.2,11.0,47900.0
2010-06-07,6,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,158,649","2,961,878","196,771",6.2,11.0,47900.0
2010-06-08,6,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,158,649","2,961,878","196,771",6.2,11.0,47900.0
2010-06-09,6,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,158,649","2,961,878","196,771",6.2,11.0,47900.0
2010-06-10,6,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,158,649","2,961,878","196,771",6.2,11.0,47900.0
2010-06-11,6,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,158,649","2,961,878","196,771",6.2,11.0,47900.0
2010-06-12,6,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,158,649","2,961,878","196,771",6.2,11.0,47900.0
2010-06-13,6,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,158,649","2,961,878","196,771",6.2,11.0,47900.0
2010-06-14,6,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,158,649","2,961,878","196,771",6.2,11.0,47900.0
2010-06-15,6,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,158,649","2,961,878","196,771",6.2,11.0,47900.0
2010-06-16,6,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,158,649","2,961,878","196,771",6.2,11.0,47900.0
2010-06-17,6,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,158,649","2,961,878","196,771",6.2,11.0,47900.0
2010-06-18,6,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,158,649","2,961,878","196,771",6.2,11.0,47900.0
2010-06-19,6,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,158,649","2,961,878","196,771",6.2,11.0,47900.0
2010-06-20,6,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,158,649","2,961,878","196,771",6.2,11.0,47900.0
2010-06-21,6,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,158,649","2,961,878","196,771",6.2,11.0,47900.0
2010-06-22,6,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,158,649","2,961,878","196,771",6.2,11.0,47900.0
2010-06-23,6,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,158,649","2,961,878","196,771",6.2,11.0,47900.0
2010-06-24,6,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,158,649","2,961,878","196,771",6.2,11.0,47900.0
2010-06-25,6,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,158,649","2,961,878","196,771",6.2,11.0,47900.0
2010-06-26,6,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,158,649","2,961,878","196,771",6.2,11.0,47900.0
2010-06-27,6,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,158,649","2,961,878","196,771",6.2,11.0,47900.0
2010-06-28,6,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,158,649","2,961,878","196,771",6.2,11.0,47900.0
2010-06-29,6,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,158,649","2,961,878","196,771",6.2,11.0,47900.0
2010-06-30,6,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,158,649","2,961,878","196,771",6.2,11.0,47900.0
2010-07-01,7,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,167,151","2,970,658","196,493",6.2,11.0,47900.0
2010-07-02,7,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,167,151","2,970,658","196,493",6.2,11.0,47900.0
2010-07-03,7,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,167,151","2,970,658","196,493",6.2,11.0,47900.0
2010-07-04,7,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,167,151","2,970,658","196,493",6.2,11.0,47900.0
2010-07-05,7,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,167,151","2,970,658","196,493",6.2,11.0,47900.0
2010-07-06,7,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,167,151","2,970,658","196,493",6.2,11.0,47900.0
2010-07-07,7,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,167,151","2,970,658","196,493",6.2,11.0,47900.0
2010-07-08,7,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,167,151","2,970,658","196,493",6.2,11.0,47900.0
2010-07-09,7,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,167,151","2,970,658","196,493",6.2,11.0,47900.0
2010-07-10,7,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,167,151","2,970,658","196,493",6.2,11.0,47900.0
2010-07-11,7,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,167,151","2,970,658","196,493",6.2,11.0,47900.0
